month,market,orders,revenue_czk,customers,aov_czk,orders_per_customer,revenue_yoy,orders_yoy,customers_yoy
2024-01,CZ,17609,25181438.94,13714,1430.03,1.284,,,
2024-01,SK,410,766256.86,344,1868.92,1.1919,,,
2024-02,CZ,15727,23373354.63,12675,1486.19,1.2408,,,
2024-02,SK,828,1262438.95,625,1524.68,1.3248,,,
2024-03,CZ,16004,23587978.04,12796,1473.88,1.2507,,,
2024-03,SK,998,1659057.71,692,1662.38,1.4422,,,
2024-04,CZ,14729,21954819.53,12161,1490.58,1.2112,,,
2024-04,SK,978,1625198.01,692,1661.76,1.4133,,,
2024-05,CZ,15695,23432134.05,13024,1492.97,1.2051,,,
2024-05,SK,1038,1856775.03,727,1788.8,1.4278,,,
2024-06,CZ,13928,20982027.49,11516,1506.46,1.2094,,,
2024-06,SK,1031,1795763.95,752,1741.77,1.371,,,
2024-07,CZ,13324,19885952.37,11165,1492.49,1.1934,,,
2024-07,SK,1027,1799340.41,721,1752.04,1.4244,,,
2024-08,CZ,13649,21842168.07,11263,1600.28,1.2118,,,
2024-08,SK,1256,2467059.79,854,1964.22,1.4707,,,
2024-09,CZ,11720,17617596.7,9985,1503.21,1.1738,,,
2024-09,SK,1082,1887543.79,761,1744.5,1.4218,,,
2024-10,CZ,14743,23100943.91,12127,1566.91,1.2157,,,
2024-10,SK,1381,2443654.02,991,1769.48,1.3935,,,
2024-11,CZ,21204,37169710.2,16130,1752.96,1.3146,,,
2024-11,SK,2347,4633326.19,1558,1974.15,1.5064,,,
2024-12,CZ,9721,13684904.3,8229,1407.77,1.1813,,,
2024-12,SK,1149,1873758.63,875,1630.77,1.3131,,,
2025-01,CZ,10672,16040541.83,9140,1503.05,1.1676,-0.363,-0.3939,-0.3335
2025-01,SK,1370,2372119.44,1034,1731.47,1.325,2.0957,2.3415,2.0058
2025-02,CZ,11338,16630157.09,9759,1466.76,1.1618,-0.2885,-0.2791,-0.2301
2025-02,SK,1383,2400862.14,1051,1735.98,1.3159,0.9018,0.6703,0.6816
2025-03,CZ,11952,16899975.84,10557,1413.99,1.1321,-0.2835,-0.2532,-0.175
2025-03,SK,1298,2254408.61,1057,1736.83,1.228,0.3588,0.3006,0.5275
2025-04,CZ,11991,18625903.34,10134,1553.32,1.1832,-0.1516,-0.1859,-0.1667
2025-04,SK,1404,2660747.77,1054,1895.12,1.3321,0.6372,0.4356,0.5231
2025-05,CZ,10425,16289942.57,9230,1562.58,1.1295,-0.3048,-0.3358,-0.2913
2025-05,SK,1171,2187280.67,937,1867.87,1.2497,0.178,0.1281,0.2889
2025-06,CZ,9652,15043721.51,8566,1558.61,1.1268,-0.283,-0.307,-0.2562
2025-06,SK,1047,2003396.19,846,1913.46,1.2376,0.1156,0.0155,0.125
2025-07,CZ,10449,16232544.85,9275,1553.5,1.1266,-0.1837,-0.2158,-0.1693
2025-07,SK,1172,2178355.07,960,1858.66,1.2208,0.2106,0.1412,0.3315
2025-08,CZ,10700,16565475.03,9157,1548.18,1.1685,-0.2416,-0.2161,-0.187
2025-08,SK,1318,2556591.32,1004,1939.75,1.3127,0.0363,0.0494,0.1756
2025-09,CZ,9472,15060185.55,8270,1589.97,1.1453,-0.1452,-0.1918,-0.1718
2025-09,SK,947,1791768.68,795,1892.05,1.1912,-0.0507,-0.1248,0.0447
2025-10,CZ,9920,16277540.15,8681,1640.88,1.1427,-0.2954,-0.3271,-0.2842
2025-10,SK,1044,2000708.91,839,1916.39,1.2443,-0.1813,-0.244,-0.1534
2025-11,CZ,14565,26755298.87,12043,1836.96,1.2094,-0.2802,-0.3131,-0.2534
2025-11,SK,1561,3329526.94,1179,2132.94,1.324,-0.2814,-0.3349,-0.2433
2025-12,CZ,7812,11835959.95,6910,1515.1,1.1305,-0.1351,-0.1964,-0.1603
2025-12,SK,830,1517967.05,702,1828.88,1.1823,-0.1899,-0.2776,-0.1977
2026-01,CZ,8822,14543438.93,7574,1648.54,1.1648,-0.0933,-0.1734,-0.1713
2026-01,SK,907,1846111.04,717,2035.4,1.265,-0.2217,-0.338,-0.3066
2026-02,CZ,9372,14740989.09,8144,1572.88,1.1508,-0.1136,-0.1734,-0.1655
2026-02,SK,971,1964841.79,791,2023.52,1.2276,-0.1816,-0.2979,-0.2474
2026-03,CZ,10654,17184442.72,9257,1612.96,1.1509,0.0168,-0.1086,-0.1231
2026-03,SK,1089,2156131.47,877,1979.92,1.2417,-0.0436,-0.161,-0.1703
2026-04,CZ,9324,15373209.49,7985,1648.78,1.1677,-0.1746,-0.2224,-0.2121
2026-04,SK,888,1839128.72,729,2071.09,1.2181,-0.3088,-0.3675,-0.3083
2026-05,CZ,9200,15352000.04,7817,1668.7,1.1769,-0.0576,-0.1175,-0.1531
2026-05,SK,966,1957481.64,774,2026.38,1.2481,-0.1051,-0.1751,-0.174
2026-06,CZ,7295,11971876.83,6452,1641.11,1.1307,-0.2042,-0.2442,-0.2468
2026-06,SK,782,1655647.69,634,2117.2,1.2334,-0.1736,-0.2531,-0.2506
