month,month_type,revenue_czk,orders,customers,aov_czk
2024-01,Běžný,25948568.8,18020,14042,1439.99
2024-02,Běžný,24635793.58,16555,13296,1488.12
2024-03,Běžný,25247035.75,17002,13486,1484.95
2024-04,Běžný,23580017.54,15707,12844,1501.24
2024-05,Běžný,25288909.08,16733,13744,1511.32
2024-06,Běžný,22777791.44,14959,12264,1522.68
2024-07,Běžný,21685292.78,14351,11878,1511.06
2024-08,Běžný,24309227.86,14905,12111,1630.94
2024-09,Běžný,19505140.49,12802,10740,1523.6
2024-10,Běžný,25544597.93,16124,13107,1584.26
2024-11,Black Friday,41803036.39,23551,17675,1775.0
2024-12,Prosinec,15558662.93,10870,9099,1431.34
2025-01,Běžný,18412661.27,12042,10169,1529.04
2025-02,Běžný,19031019.23,12721,10806,1496.03
2025-03,Běžný,19154384.45,13250,11610,1445.61
2025-04,Běžný,21286651.11,13395,11186,1589.15
2025-05,Běžný,18477223.24,11596,10162,1593.41
2025-06,Běžný,17047117.7,10699,9409,1593.34
2025-07,Běžný,18533275.92,11677,10228,1587.16
2025-08,Běžný,19304358.35,12111,10156,1593.95
2025-09,Běžný,17054268.23,10517,9060,1621.59
2025-10,Běžný,18484875.06,11065,9512,1670.57
2025-11,Black Friday,30220434.81,16196,13218,1865.92
2025-12,Prosinec,13475302.0,8706,7611,1547.82
2026-01,Běžný,16491511.97,9779,8287,1686.42
2026-02,Běžný,16842997.88,10397,8934,1619.99
2026-03,Běžný,19418691.19,11776,10131,1649.01
2026-04,Běžný,17310418.21,10251,8707,1688.66
2026-05,Běžný,17401901.68,10221,8588,1702.56
2026-06,Běžný,13767005.52,8138,7083,1691.69
